XMIN,XMAX,YMIN,YMAX,can_cover,layer,path,fid,left,top,right,bottom,id,plot_id,21-Nov,top_2,right_2,bottom_2,id_2,plot_id_2,57DAS_DAS,,DAS,leaf_angle_DAS,DAS,VLADF_DAS,,Height,leaf_angle_height,VLADF_height,Height,VLADF_height_rounded,,,Height,Leaf_Angle_Height,VLADF_Height,,leaf_angle_DAS,VLADF_DAS,,VLADF (av),,leaf_angle (av),leaf_angle (av in radians),LAI
78.39881665,78.39882566,17.32425441,17.3242634,0.626891016,farm1000,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,50.4,17.32428468,78.39886365,17.32423168,13,2,35,,23,33,23,1.7,,0.1,31,1.3,0.1,1.3,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,1.993872765
78.3988256,78.39883461,17.32425441,17.3242634,0.932077802,farm1001,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,50.4,17.32428468,78.39886365,17.32423168,13,2,35,,24,33,24,1.7,,0.2,31,1.6,0.2,1.6,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,2.964541679
78.39883461,78.39884363,17.32425441,17.3242634,0.982672121,farm1002,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,50.4,17.32428468,78.39886365,17.32423168,13,2,35,,25,33,25,1.7,,0.3,31,1.8,0.3,1.8,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,3.125460615
78.39884363,78.39885264,17.32425441,17.3242634,0.892289287,farm1003,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,50.4,17.32428468,78.39886365,17.32423168,13,2,35,,26,33,26,1.7,,0.4,31,1.725,0.4,1.7,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,2.837991394
78.39885258,78.39886159,17.32425441,17.3242634,0.840691571,farm1004,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,50.4,17.32428468,78.39886365,17.32423168,13,2,35,,27,33,27,1.7,,0.5,31,1.7055,0.5,1.7,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,2.673881083
78.39886159,78.39887061,17.32425441,17.3242634,0.417489966,farm1005,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",20,78.39886365,17.32428468,78.39891765,17.32423168,20,3,49,17.32428468,78.39886365,17.32423168,13,2,35,,28,33,28,1.71,,0.6,31.82200004,1.686,0.6,1.7,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,1.327857398
78.39886159,78.39887061,17.32425441,17.3242634,0.417489966,farm1005,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,50.4,17.32428468,78.39891765,17.32423168,20,3,35,,29,33,29,1.72,,0.7,31.57929809,1.6665,0.7,1.7,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,1.327857398
78.39886159,78.39887061,17.32425441,17.3242634,0.417489966,farm1005,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",13,78.39880965,17.32428468,78.39886365,17.32423168,13,2,50.4,17.32428468,78.39886365,17.32423168,13,2,35,,30,33,30,1.725,,0.8,31.33559615,1.647,0.8,1.6,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,1.327857398
78.39886159,78.39887061,17.32425441,17.3242634,0.417489966,farm1005,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",20,78.39886365,17.32428468,78.39891765,17.32423168,20,3,49,17.32428468,78.39891765,17.32423168,20,3,35,,31,33,31,1.716,,0.9,31.92589421,1.6275,0.9,1.6,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,1.327857398
78.39887061,78.39887962,17.32425441,17.3242634,0.587719975,farm1006,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",20,78.39886365,17.32428468,78.39891765,17.32423168,20,3,49,17.32428468,78.39891765,17.32423168,20,3,35,,32,33,32,1.707,,1,32.51619226,1.608,1,1.6,,,0.5,31,1.7,,33.16770453,1.68,,1.69,,32.08385227,0.560194246,1.869286404
