fid,left,top,right,bottom,id,plot_id,1/7/2024 Height (cm),fid_2,left_2,top_2,right_2,bottom_2,id_2,plot_id_2,101_DAS,XMIN,XMAX,YMIN,YMAX,can_cover,layer,path,,,,,,,,,DAS,leaf_angle_DAS,DAS,VLADF_DAS,,Height,leaf_angle_height,VLADF_height,Height,VLADF_height_rounded,,,1/7/2024 Height (m),Leaf_Angle_Height,VLADF_Height,,leaf_angle_DAS,VLADF_DAS,,VLADF (av),,leaf_angle (av),leaf_angle (av in radians),LAI
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.39878237,78.39879136,17.32450921,17.32451818,0.918303571,farm100,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,23,33,23,1.7,,0.1,31,1.3,0.1,1.3,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,4.308646732
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.39879136,78.39880036,17.32450921,17.32451818,0.910308442,farm101,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,24,33,24,1.7,,0.2,31,1.6,0.2,1.6,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,4.271133876
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.39880036,78.39880935,17.32450921,17.32451818,0.668506494,farm102,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,25,33,25,1.7,,0.3,31,1.8,0.3,1.8,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,3.136607989
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.39880935,78.39881834,17.32450921,17.32451818,0.937987013,farm103,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,26,33,26,1.7,,0.4,31,1.725,0.4,1.7,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,4.401000719
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.3987554,78.39876439,17.32450024,17.32450921,0.574350649,farm129,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,27,33,27,1.7,,0.5,31,1.7055,0.5,1.7,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,2.694832216
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.39876439,78.39877338,17.32450024,17.32450921,0.813717532,farm130,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,28,33,28,1.71,,0.6,31.82200004,1.686,0.6,1.7,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,3.817932867
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.39877338,78.39878237,17.32450024,17.32450921,0.703449675,farm131,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,29,33,29,1.72,,0.7,31.57929809,1.6665,0.7,1.7,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,3.300560119
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.39878237,78.39879136,17.32450024,17.32450921,0.864853896,farm132,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,30,33,30,1.725,,0.8,31.33559615,1.647,0.8,1.6,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,4.057862813
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.39879136,78.39880036,17.32450024,17.32450921,0.877800325,farm133,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,31,33,31,1.716,,0.9,31.92589421,1.6275,0.9,1.6,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,4.118606981
1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,119.2,1,78.39875565,17.32454968,78.39880965,17.32449668,1,18,83,78.39880036,78.39880935,17.32450024,17.32450921,0.608076299,farm134,"Polygon?crs=GEOGCS[""WGS 84"",DATUM[""WGS_1984"",SPHEROID[""WGS 84"",6378137,298.257223563,AUTHORITY[""EPSG"",""7030""]],AUTHORITY[""EPSG"",""6326""]],PRIMEM[""Greenwich"",0,AUTHORITY[""EPSG"",""8901""]],UNIT[""degree"",0.0174532925199433,AUTHORITY[""EPSG"",""9122""]],AUTHORITY[""",,,,,,,,,32,33,32,1.707,,1,32.51619226,1.608,1,1.6,,,1.2,33.2340942,1.9,,28.31763631,2.90332,,2.40166,,30.77586526,0.537356377,2.853071728
